SN,Suburb,Category,Business Name,Address,Postcode,Latitude,Longitude,Short Description,Contact Phone,Contact Email,Website,Rating,Reviews
1,"Laverton, VIC",restaurants,Club Laverton Motel  Licensed Club,"15 Aviation Rd, Laverton VIC 3028",3030,-37.868245,144.762243,Family Friendly Dining. Call Us!,(03) 8360 9143,reservations@clublaverton.com.au,http://www.clublaverton.com.au,0.0,0
2,"Werribee, VIC",restaurants,Italian Sports Club Of Werribee Inc,"601 Heaths Rd, Werribee VIC 3030",3030,-37.88396,144.64783,"Functions, Weddings, Conferences, Parties, Special Events &  Bistro.",(03) 9741 1225,manager@iscw.com.au,http://www.iscw.com.au,0.0,0
3,"Werribee, VIC",restaurants,The Indian Roast,"285 Heaths Rd, Werribee VIC 3030",3030,-37.8771,144.67555,"Specialising In North Indian Cuisine, Private Functions & Birthdays.",(03) 8742 7815,dmehra@bigpond.net.au,http://www.indianroast.com.au,0.0,0
4,"Werribee, VIC",restaurants,Sandyz Tadka,"Shp 6/ 57-61 Synnot St, Werribee VIC 3030",3030,-37.90425,144.660323,Indian Restaurant &Catering Services For all Occasions,(03) 9741 5292,,http://www.sandyztadka.com.au,0.0,0
5,"Point Cook, VIC",restaurants,Cocochine Restaurant Point Cook,"T131, 5 Murnong St (Town Cntr), Point Cook VIC 3030",3030,-37.882695,144.73437,,(03) 9394 8628,ken@cocochinerestaurant.com.au,http://www.cocochinerestaurant.com.au,2.0,1
6,"Point Cook, VIC",restaurants,Cocochine Restaurant Point Cook,"T131, 5 Murnong St (Town Cntr), Point Cook VIC 3030",3030,-37.891542,144.745353,,(03) 9394 8628,ken@cocochinerestaurant.com.au,http://www.cocochinerestaurant.com.au,2.0,1
7,"Werribee, VIC",restaurants,Indian Roast The,"285 Heaths Rd, Werribee VIC 3030",3030,-37.8771,144.67555,,(03) 9748 3999,dmehra@bigpond.net.au,http://www.indianroast.com.au,0.0,0
8,"Werribee, VIC",restaurants,Baffetti Ristorante eBar,"106 Watton St, Werribee VIC 3030",3030,-37.90362,144.65644,,(03) 9741 8989,info@baffetti.com.au,http://www.baffetti.com.au,0.0,0
9,"Point Cook, VIC",restaurants,China T,"Sanctuary Lakes Shopping Centre Shop 32, Point Cook Rd, Point Cook VIC 3030",3030,-37.89558,144.75329,,(03) 9395 4888,,http://www.chinat.com.au,0.0,0
10,"Werribee, VIC",restaurants,Scolaros Family Restaurant,"13 Riverside Ave, Werribee VIC 3030",3030,-37.9132,144.6591,,(03) 9741 9555,,http://www.wyncity.com.au,0.0,0
11,"Werribee, VIC",restaurants,Chawlas,"U3/ 49 Cherry St, Werribee VIC 3030",3030,-37.899623,144.664608,Indian Restaurant,(03) 9741 7597,,,0.0,0
12,"Werribee, VIC",restaurants,Mynt Lounge,"185 Watton St, Werribee VIC 3030",3030,-37.90404,144.65723,,(03) 9974 0833,,,2.0,1
13,"Werribee South, VIC",restaurants,Jacksons On K,"275 Cnr K & Duncan Rd, Werribee South VIC 3030",3030,-37.935679,144.707456,,(03) 9731 1415,,,4.0,2
14,"Werribee, VIC",restaurants,Wyncity Bowl  Entertainment,"13 Riverside Ave, Werribee VIC 3030",3030,-37.9132,144.6591,,(03) 9741 9777,,,3.0,1
15,"Werribee, VIC",restaurants,Bikanos,"Shp 3/ 70 Watton St, Werribee VIC 3030",3030,-37.902353,144.658739,,(03) 8742 6450,,,4.0,1
16,"Point Cook, VIC",restaurants,The Brook On Sneydes,"215 Sneydes Rd, Point Cook VIC 3030",3030,-37.898159,144.729339,,(03) 9394 6444,,,4.0,1
17,"Werribee, VIC",restaurants,Silver Chopsticks Chinese Restaurant,"7 Barnes Place (off Comden Grove) Werribee, Werribee VIC 3030",3030,-37.90095,144.66076,,(03) 9741 7554,,,4.5,3
18,"Werribee, VIC",restaurants,Silver Chopsticks Chinese Restaurant,"7 Barnes Pl, Werribee VIC 3030",3030,-37.900953,144.660755,,(03) 9741 7554,,,4.5,3
19,"Werribee, VIC",restaurants,Ages Pizza Place,"90a Watton St, Werribee VIC 3030",3030,-37.90282,144.65782,,(03) 8742 6513,,,0.0,0
20,"Werribee, VIC",restaurants,Gujjus Cafe,"Shp2/ 1 Watton St, Werribee VIC 3030",3030,-37.900295,144.663813,,(03) 9741 1178,,,0.0,0
21,"Werribee, VIC",restaurants,Caffe Aroma Ristorante,"98 Watton St, Werribee VIC 3030",3030,-37.90328,144.65698,,(03) 9742 2744,,,0.0,0
22,"Werribee, VIC",restaurants,Duyen Duyen Vietnamese Chinese Restaurant,"122 Watton St, Werribee VIC 3030",3030,-37.90416,144.65621,,(03) 9742 6172,,,0.0,0
23,"Werribee, VIC",restaurants,Ghazal Indian Buffet  Bar,"187 Watton St, Werribee VIC 3030",3030,-37.90422,144.65711,,(03) 9742 4486,,,0.0,0
24,"Derrimut, VIC",restaurants,Seasonal Thai Restaurant,"Shp5/ 1 Elgar Rd, Derrimut VIC 3030",3030,-37.783801,144.773832,,(03) 9363 1554,,,0.0,0
25,"Point Cook, VIC",restaurants,China T,"Sanctuary Lakes Shopping Centre Shop 32, Point Cook Rd, Point Cook VIC 3030",3030,-37.89558,144.75329,,(03) 9395 4888,,,0.0,0
26,"Werribee, VIC",restaurants,Ploy Thai,"Shp1/ 102 Watton St, Werribee VIC 3030",3030,-37.90347,144.65666,,(03) 9974 1872,,,0.0,0
27,"Point Cook, VIC",restaurants,Kampung Story,"Ste45/ 300 Point Cook Rd, Point Cook VIC 3030",3030,-37.89567,144.75259,,(03) 8353 8884,,,0.0,0
28,"Werribee, VIC",restaurants,Santini Family Restaurant,"Shop 2/ 102 Watton St, Werribee VIC 3030",3030,-37.90347,144.65666,,(03) 9742 3977,,,0.0,0
29,"Point Cook, VIC",restaurants,Grilld Point Cook,"Shp126/ 5 Main St, Point Cook VIC 3030",3030,-37.882138,144.734668,,(03) 9395 5700,,,0.0,0
30,"Point Cook, VIC",restaurants,Vivere Restaurant Cafe Bar,"Shop 129 Murnong St, Point Cook VIC 3030",3030,-37.883111,144.734805,,(03) 9395 0520,,,0.0,0
31,"Werribee, VIC",restaurants,Master Wok Chinese Restaurant,"65 Synott St, Werribee VIC 3030",3030,-37.90396,144.65928,,(03) 9741 7007,,,0.0,0
32,"Werribee, VIC",restaurants,Crown Of India,"Shop 3, 102-104 Watton St, Werribee VIC 3030",3030,-37.90347,144.65666,,(03) 9731 0122,,,0.0,0
33,"Werribee, VIC",restaurants,La Porchetta Werribee,"Werribee Plaza Shopping Centre, Shop B008 Cnr Derrimut & Heaths Rd, Werribee VIC 3030",3030,-37.877611,144.682746,,(03) 9748 4888,,,0.0,0
34,"Werribee, VIC",restaurants,Josephs Restaurant  Bar,"K Rd, Werribee VIC 3030",3030,-37.944141,144.682914,,(03) 9731 4130,,,0.0,0
35,"Werribee, VIC",restaurants,Subway Sandwiches  Salads,"Shop 3, 51 Synnot St, Werribee VIC 3030",3030,-37.90359,144.66073,,(03) 9974 1688,,,0.0,0
36,"Werribee, VIC",restaurants,Accettas Woodfired Pizza House,"187 Watton St, Werribee VIC 3030",3030,-37.90422,144.65711,,(03) 9742 4888,,,0.0,0
37,"Point Cook, VIC",restaurants,Cocochine Restaurant Point Cook,"T131, 5 Murnong St (Town Cntr), Point Cook VIC 3030",3030,-37.891542,144.745353,Renowned Friendly Service,(03) 9394 8628,ken@cocochinerestaurant.com.au,http://www.cocochinerestaurant.com.au,2.0,1
38,"Laverton North, VIC",restaurants,Taco Bill Mexican Restaurant,"2 Fitzgerald Rd, Laverton North VIC 3026",3026,-37.843655,144.782547,,(03) 9369 7555,,,0.0,0
39,"Laverton North, VIC",restaurants,Westside Hotel,"Cnr Leakes Rd & Fitzgerald Rd, Laverton North VIC 3026",3026,-37.844177,144.781834,,(03) 9360 3700,,,0.0,0
40,"Laverton North, VIC",restaurants,Taco Bill Mexican Restaurant,"2 Fitzgerald Rd, Laverton North VIC 3026",3026,-37.843655,144.782547,,(03) 9369 7555,,,0.0,0
41,"Laverton North, VIC",restaurants,Diamond Valley Pork Pty Ltd,"13 Thomas Rd, Laverton North VIC 3026",3026,-37.821426,144.805666,,(03) 8369 2255,,,0.0,0
42,"Laverton, VIC",restaurants,Club Laverton Motel  Licensed Club,"15 Aviation Rd, Laverton VIC 3028",3026,-37.868245,144.762243,Brand New Menu Available Seven Nights A Week From 6pm To 8pm.,(03) 8360 9143,reservations@clublaverton.com.au,http://www.clublaverton.com.au,0.0,0
43,"Altona, VIC",restaurants,Altona Curry House,"7 Harrington Sq, Altona VIC 3018",3026,-37.864369,144.814008,,(03) 9398 4732,,http://www.altonacurryhouse.com.au,0.0,0
44,"Laverton, VIC",restaurants,So N Sos Fully Licensed Restaurant  Cafe,"1 & 2/ 24 Aviation Rd, Laverton VIC 3028",3026,-37.86822,144.76112,,(03) 9369 4311,,,3.0,1
45,"Laverton, VIC",restaurants,Fresh Chilli Thai Restaurant,"Shp 1/ 1-5 Aviation Rd, Laverton VIC 3028",3026,-37.86754,144.76206,,(03) 9369 3796,,,4.5,3
46,"Laverton, VIC",restaurants,Club Laverton Motel  Licensed Club,"15 Aviation Rd, Laverton VIC 3028",3026,-37.86824,144.76224,,(03) 8360 9143,,,0.0,0
47,"Ardeer, VIC",restaurants,McDonalds Family Restaurants,"West Western Ring Rd, Ardeer VIC 3022",3026,-37.801953,144.801523,,(03) 9311 4533,,,0.0,0
48,"Altona, VIC",restaurants,Biva Indian Restaurant,"7 Harrington Sq, Altona VIC 3018",3026,-37.864369,144.814008,,(03) 9327 8435,,,0.0,0
49,"Laverton, VIC",restaurants,Al Pesto,"161 Railway Ave, Laverton VIC 3028",3026,-37.86715,144.76212,,(03) 9369 6796,,,0.0,0
50,"Altona, VIC",restaurants,Arawan Thai Restaurant,"24 Harrington Sq, Altona VIC 3018",3026,-37.864206,144.813038,,(03) 9398 3330,,,0.0,0
51,"Altona Meadows, VIC",restaurants,Aviator Bar,"Shop 51, Central Square Shopping Centre, Altona Meadows VIC 3028",3026,-37.87148,144.77267,,(03) 9315 6399,,,0.0,0
52,"Altona Meadows, VIC",restaurants,IL Divo Restaurant  Bar,"Shp 51/ 1 Central Ave, Altona Meadows VIC 3028",3026,-37.873523,144.776059,,(03) 9315 6399,,,0.0,0
53,"Altona, VIC",restaurants,Gulatis Restaurants,Altona VIC 3018,3026,-37.864771,144.818301,,(03) 9315 9655,,,0.0,0
54,"Altona, VIC",restaurants,Dragon Temple,"25 Somers Pde, Altona VIC 3018",3026,-37.87005,144.81103,,(03) 9398 3555,,,0.0,0
55,"Altona North, VIC",restaurants,The Place To Eat,"2 Pinnacle Rd, Altona North VIC 3025",3026,-37.839234,144.825134,,(03) 9369 6078,,,0.0,0
56,"Laverton, VIC",restaurants,So N Sos,"Shop1/ 24 Aviation Rd, Laverton VIC 3028",3026,-37.86822,144.76112,,(03) 9369 4311,,,0.0,0
57,"Laverton, VIC",restaurants,Nara Thai Restaurant,"Shop2/ 6 Neville Ave, Laverton VIC 3028",3026,-37.86802,144.76072,,(03) 9369 8799,,,0.0,0
58,"Altona Meadows, VIC",restaurants,La Porchetta Altona Meadows,"Central Square Shopping Centre, Shop 1 Cnr Merton St & Petre Ave, Altona Meadows VIC 3028",3026,-37.874238,144.777175,,(03) 9315 6511,,,0.0,0
59,"Sunshine West, VIC",restaurants,Taj Indian Foods Pty Ltd,"2/ 33 Enterprise Way, Sunshine West VIC 3020",3026,-37.814379,144.823887,,(03) 9314 6002,,,0.0,0
60,"Laverton, VIC",restaurants,Redgum Family Restaurant,"89 Railway Ave, Laverton VIC 3028",3026,-37.865265,144.769589,,(03) 9369 3646,,,0.0,0
61,"Ardeer, VIC",restaurants,Blazed Bar  Grill,"608 Ballarat Rd, Ardeer VIC 3022",3026,-37.77311,144.80448,Blazed Bar & Grill is open 7 days a week form 5pm till late.,(03) 8361 8065,reception@sunshinemotorinn.com.au,http://www.sunshinemotorinn.com.au/index.php/restaurant,0.0,0
