SN,Suburb,Category,Business Name,Address,Latitude,Longitude,Short Description,Contact Phone,Contact Email,Website,Rating,Reviews
1,"Adelaide, SA",restaurants,Royal Adelaide Hospital,"North Tce, Adelaide SA 5000",-34.919807,138.609116,,,,http://www.rah.sa.gov.au,3.5,8
2,"Hove, SA",restaurants,Griffith Rehabilitation Hospital,"13 Dunrobin Rd, Hove SA 5048",-35.010271,138.524113,,,,http://www.griffithrehabilitation.com.au,0,0
3,"Woodville South, SA",restaurants,Queen Elizabeth Hospital The,"Woodville Rd, Woodville South SA 5011",-34.88346,138.533498,,,,,3,1
4,"North Adelaide, SA",restaurants,Womens  Childrens Hospital,"72 King William Rd, North Adelaide SA 5006",-34.91188,138.60032,,,,,4,2
5,"Campbelltown, SA",restaurants,A Party World,"629 Lower North East Rd, Campbelltown SA 5074",-34.87719,138.66385,,,,,4,3
6,"Daw Park, SA",restaurants,Repatriation General Hospital,"216 Daws Rd, Daw Park SA 5041",-34.99049,138.58956,,,,,4,2
7,"Modbury, SA",restaurants,Modbury Hospital,"Smart Rd, Modbury SA 5092",-34.83320647,138.6917732,,,,,2,1
8,"Marree, SA",restaurants,Marree Health Service,"First St, Marree SA 5733",-29.64958569,138.0625022,,,marreehs@bigpond.com,,0,0
9,"McLaren Vale, SA",restaurants,McLaren Vale  Districts War Memorial Hospital,"Aldersey St, McLaren Vale SA 5171",-35.224311,138.544119,,,mvdwmh@internode.on.net,,0,0
10,"Strathalbyn, SA",restaurants,Strathalbyn  District Soldiers Memorial Hospital,"14 Alfred Pl, Strathalbyn SA 5255",-35.25776,138.89379,,,,,0,0
11,"Strathalbyn, SA",restaurants,Strathalbyn  District Health Service,"14 Alfred Pl, Strathalbyn SA 5255",-35.257765,138.89379,,,,,0,0
12,"Kurralta Park, SA",restaurants,Tennyson Centre Day Hopsital,"506-520 South Rd, Kurralta Park SA 5037",-34.94,138.57,,,,,0,0
13,"Crystal Brook, SA",restaurants,Crystal Brook District Hospital Inc,"1100 Edmund Tce, Crystal Brook SA 5523",-33.35,138.21,,,,,0,0
14,"Woodville, SA",restaurants,TQEH Day Surgery Unit,"Woodville Rd, Woodville SA 5011",-34.88,138.53,,,,,0,0
15,"North Adelaide, SA",restaurants,Little Company of Mary Health Care  Calvary Health Care SA,"89 Strangeways Tce, North Adelaide SA 5006",-34.9,138.58,,,,,0,0
16,"Glenside, SA",restaurants,Helen Mayo House,"226 Fullarton Rd, Glenside SA 5065",-34.94,138.62,,,,,0,0
17,"Whyalla, SA",restaurants,Whyalla Hospital and Health Service Inc,"Wood Tce, Whyalla SA 5600",-33.03560888,137.5766984,,,,,0,0
18,"Booleroo Centre, SA",restaurants,Booleroo Centre District Hospital  Health Services Inc,"Stephens St, Booleroo Centre SA 5482",-32.88105494,138.3506163,,,,,0,0
19,"Mt Gambier, SA",restaurants,Mount Gambier And Districts Health Service Inc,"Wehl St North, Mt Gambier SA 5290",-37.81419717,140.7806017,,,,,0,0
20,"Port Broughton, SA",restaurants,Port Broughton District Hospital,"Bay St, Port Broughton SA 5522",-33.6003297,137.9316522,,,,,0,0
21,"Loxton, SA",restaurants,Loxton Hospital Complex Incorporated,"Drabsch St, Loxton SA 5333",-34.45385361,140.5626432,,,,,0,0
22,"Naracoorte, SA",restaurants,Naracoorte Health Service Inc,"Jenkins Tce, Naracoorte SA 5271",-36.96184662,140.7456756,,,,,0,0
23,"Tanunda, SA",restaurants,Barossa Area Health Services Inc,"15 Mill St, Tanunda SA 5352",-34.52851,138.96115,,,,,0,0
24,"Northfield, SA",restaurants,Hampstead Rehabilitation Centre,"207 Hampstead Rd, Northfield SA 5085",-34.86046,138.62059,,,,,0,0
25,"Port Lincoln, SA",restaurants,Port Lincoln Health Services Inc,"Oxford Tce, Port Lincoln SA 5606",-34.72172711,135.850603,,,,,0,0
26,"Orroroo, SA",restaurants,Orroroo District Hospital,"Pekina Rd, Orroroo SA 5431",-32.73841,138.608,,,,,0,0
27,"Jamestown, SA",restaurants,Jamestown Hospital  Health Service Inc,"South Tce, Jamestown SA 5491",-33.21111297,138.6064185,,,,,0,0
28,"Murray Bridge, SA",restaurants,Hills Mallee Southern Regional Health Service,"PO Box 346, Murray Bridge SA 5253",-35.129915,139.271666,,,,,0,0
29,"Gumeracha, SA",restaurants,Gumeracha District Soldiers Memorial Hospital,"2 Albert St, Gumeracha SA 5233",-34.82618,138.88177,,,,,0,0
30,"Semaphore South, SA",restaurants,St Margarets Rehabilitation Hospital,"65 Military Rd, Semaphore South SA 5019",-34.84642,138.48047,,,,,0,0
31,"Gumeracha, SA",restaurants,Northern Adelaide Hills Health Service Inc,"2 Albert St, Gumeracha SA 5233",-34.82618,138.88177,,,,,0,0
32,"Angaston, SA",restaurants,Barossa Area Health Services Inc,"PO Box 270, Angaston SA 5353",-34.506198,139.047666,,,,,0,0
33,"Wallaroo, SA",restaurants,Northern Yorke Private Hospital,"Ernest Tce, Wallaroo SA 5556",-33.93012351,137.6373218,,,,,0,0
34,"Mt Pleasant, SA",restaurants,Northern Adelaide Hills Health Service Inc,"Hospital Rd, Mt Pleasant SA 5235",-34.77325627,139.0539119,,,,,0,0
35,"Murray Bridge, SA",restaurants,Murray Bridge Soldiers Memorial Hospital Inc,"Swanport Rd, Murray Bridge SA 5253",-35.1338142,139.2815801,,,,,0,0
36,"Tailem Bend, SA",restaurants,Tailem Bend District Hospital,"Princes Hwy, Tailem Bend SA 5260",-35.30858719,139.4256132,,,,,0,0
37,"Peterborough, SA",restaurants,Mid North Health Peterborough Hospital,"23 Hurlstone St, Peterborough SA 5422",-32.98092,138.83031,,,,,0,0
38,"Meningie, SA",restaurants,Meningie  Districts Memorial Hospital  Health Services Inc,"2 South Tce, Meningie SA 5264",-35.69321,139.33541,,,,,0,0
39,"Port Augusta, SA",restaurants,Port Augusta Hospital,"Hospital Rd, Port Augusta SA 5700",-32.5057187,137.7750967,,,,,0,0
40,"Gladstone, SA",restaurants,Gladstone Health Centre,"Fifth St, Gladstone SA 5473",-33.27040229,138.3558179,,,,,0,0
41,"Victor Harbor, SA",restaurants,South Coast District Hospital,"Bay Rd, Victor Harbor SA 5211",-35.56009126,138.607695,,,,,0,0
42,"Angaston, SA",restaurants,Barossa Area Health Services Inc,"29 North St, Angaston SA 5353",-34.50352,139.0547,,,,,0,0
43,"Pinnaroo, SA",restaurants,Pinnaroo Soldiers Memorial Hospital,"Bundey Tce, Pinnaroo SA 5304",-35.25710752,140.9063221,,,,,0,0
44,"Gumeracha, SA",restaurants,Glenview Home,"2 Albert St, Gumeracha SA 5233",-34.82618,138.88177,,,,,0,0
45,"Port Pirie, SA",restaurants,Port Pirie Regional Health Service Incorporated,"The Terrace, Port Pirie SA 5540",-33.17797233,138.003884,,,,,0,0
46,"Eudunda, SA",restaurants,Eudunda Senior Citizens Hostel,"40 Ward St, Eudunda SA 5374",-34.17526,139.09051,,,,,0,0
47,"Maitland, SA",restaurants,Yorke Peninsula Health Maitland Hospital,"65 Robert St, Maitland SA 5573",-34.37,137.67,,,,,0,0
48,"Mallala, SA",restaurants,Mallala Community Hospital Incorporated,"Aerodrome Rd, Mallala SA 5502",-34.437086,138.508074,,,,,0,0
