SN,Suburb,Category,Business Name,Address,Latitude,Longitude,Short Description,Contact Phone,Contact Email,Website,Rating,Reviews
1,"Adelaide, SA",restaurants,Jasmin Indian Restaurant,"31 Hindmarsh Sq, Adelaide SA 5000",-34.92436,138.604998,City Centre Location,,,http://www.jasmin.com.au,0,0
2,"West Lakes, SA",restaurants,Crusoes Restaurant,"141 Brebner Drv, West Lakes SA 5021",-34.880027,138.488698,West Lakes Premier Food and Wine Destination,,enquiries@lakesresorthotel.com.au,http://www.lakesresorthotel.com.au/a-bar-and-food-for-every-occassion/crusoes/,4,3
3,"Port Lincoln, SA",restaurants,Grand Tasman Hotel,"94 Tasman Tce, Port Lincoln SA 5606",-34.72161,135.86091,Great Times At The Grand Tasman Hotel.,,gthotel@internode.on.net,http://www.grandtasmanhotel.com.au,0,0
4,"Port Lincoln, SA",restaurants,The Marina Hotel Apartments,"13 Jubilee Drv, Port Lincoln SA 5606",-34.74294,135.87443,Port Lincoln's only alfresco dining on the water.,,stay@marinahotel.com.au,http://www.marinahotel.com.au,0,0
5,"Semaphore, SA",restaurants,Lickerish Kitchen,"Shp B/ 26 Semaphore Rd, Semaphore SA 5019",-34.838906,138.481998,Kitchen & Bar - Good Wine - Great Service - Outstanding Food,,info@lickerish.com.au,http://www.lickerish.com.au,0,0
6,"Glenelg North, SA",restaurants,Watermark Glenelg,"631 Anzac Hwy, Glenelg North SA 5045",-34.97613,138.51476,"Award Winning ""All You Can Eat"" International Buffet, Sports Bar",,info@watermarkglenelg.com.au,http://www.watermarkglenelg.com.au,3.5,8
7,"Glenelg, SA",restaurants,Fish,"Shop 8, Marina Pr Holdfast Shores, Glenelg SA 5045",-34.980227,138.515604,Simply Fresh Local Food,,jay@fishglenelg.com.au,http://www.fishglenelg.com.au/FISH.html,1,1
8,"Adelaide, SA",restaurants,Skycity Adelaide,Adelaide SA 5000,-34.928605,138.601685,Live Large,,marketing@adelaidecasino.com.au,http://www.adelaidecasino.com.au/restaurants/welcome,0,0
9,"Henley Beach, SA",restaurants,Stella Restaurant,"2/ 257 Seaview Rd, Henley Beach SA 5022",-34.91905,138.49391,We Can Cater From 2 People Through To 120 People For Any Occasion.,,info@stellarestaurant.com.au,http://www.stellarestaurant.com.au,4,4
10,"Mt Gambier, SA",restaurants,Wild Ginger Thai,"17 Commercial St West, Mt Gambier SA 5290",-37.82848,140.77981,Fine Thai Cuisine | Dine In | Take Away | Functions | Fully Licensed,,info@wildginger.com.au,http://www.wildginger.com.au,0,0
