City,Address,Reviews,Nightly Rate (Main Price),Room Type,Accommodates,Bedrooms,Beds,Property Type,Bathrooms,Check In,Check Out,Kitchen,Internet,TV,Essentials,Shampoo,Heating,Air Conditioning,Washer,Dryer,Free Parking on Premises,Wireless Internet,Cable TV,Breakfast,Pets Allowed,Family/Kid Friendly,Suitable for Events,Smoking Allowed,Wheelchair Accessible,Elevator in Building,Indoor Fireplace,Buzzer/Wireless Intercom,Doorman,Pool,Hot Tub,Gym,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Extra People,Cleaning Fee,Security Deposit,Weekly Price,Monthly Price,Cancellation,Minimum Stay
"Westwood, Los Angeles, CA",Spacious private room w/bathroom.,22,$100,Private room,2,1,1,Apartment,1,3:00 PM,12:00 PM (noon),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No, , , ,$745,$2900,Flexible,1 night
"Westwood, Los Angeles, CA",Large L-room W.Hollywood/S. Monica,23,$65,Shared room,3,1,1,Apartment,1, , ,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,$15 / night after the first guest,$10, ,,,Moderate,1 night
"Westwood, Los Angeles, CA",Great room in best location of LA,9,$85,Private room,1,1,1,Apartment,1, ,3:00 PM,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No, , , ,,,Moderate,2 nights
"Westwood, Los Angeles, CA",Prime Westwood Cottage Style 1 Bdrm,36,$90,Entire home/apt,2,1,1,Apartment,1, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge,$25, ,,,Strict,1 night
"Westwood, Los Angeles, CA",Charming Century City Guest House,15,$135,Entire home/apt,2,1,1,Bed & Breakfast,1,2:00 PM,11:00 AM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,$10 / night after the first guest,$50,$300,$900,,Moderate,2 nights
"Westwood, Los Angeles, CA",Westwood on a Budget!,10,$55,Shared room,1,1,1,Apartment,1,6:00 PM, ,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No, ,$10,$100,,,Moderate,1 night
"Westwood, Los Angeles, CA",Amazing NY style Penthouse w/ Loft,22,$129,Entire home/apt,3,2,2,Apartment,1, ,12:00 PM (noon),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,$10 / night after 2 guests,$50,$300,,,Strict,1 night
"Westwood, Los Angeles, CA",Delightful & sizable studio apt,7,$105,Entire home/apt,2,0,1,Apartment,1,10:00 AM,3:00 PM,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Charge,$25, ,$850,$1300,Strict,2 nights
"Westwood, Los Angeles, CA",Private Room in Gorgeous Westwood,6,$85,Private room,2,1,1,House,1.5, ,1:00 PM,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No Charge, , ,,,Moderate,1 night
"Westwood, Los Angeles, CA",Lofty Stay,45,$125,Private room,2,1,1,Loft,2,3:00 PM,11:00 AM,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, , , ,$875,$3035,Moderate,2 nights
