List_Price,List_Price_Discount_Flag,TRU_SKU,Source_URL,search_string,walmartID,Available,Vendor,Description,Timestamp,Price,TRU_List_Price,TRU_Brand_Name,Was_Price,TRU_Model_Number,Image_URL,Age,Categories,TRU_UPC,UPC_Found,TRU_Category_Name_2,TRU_Category_Name_3,TRU_Category_Name_1,TRU_URL,Shipping,Marketplace_Seller_Rating,Item_Flag,TRU_Online_Desc,Weight,Source,Item_Name,TRU_Title,TRU_Price,SN,model
,0,863217,http://www.walmart.com/ip/Twister-Rave-Skip-It-Game/22223356,http://www.walmart.com/ip/Twister-Rave-Skip-It-Game/22223356,22223356,yes,Walmart.com,Twister Rave Skip-It Game:   Designed for 1 player Game is light-up skipping fun Lights up in 4 colors as you swing it and hop over it 20 plus light patterns Don't stop or the Skip-It resets Comes with trick guide Requires 3 AA batteries (demo batteries included),2013-05-23 06:00:12,19.88,19.99,Hasbro,,A2037,http://i.walmartimages.com/i/p/00/65/35/69/80/0065356980124_300X300.jpg,6 Years and up,Toys :    Electronic Games,0653569801245,,GAMES,HASBRO CHILDREN GAMES,LEARNING,http://www.toysrus.com/product/index.jsp?productId=17244536,,There are no reviews for this retailer,,Twister Rave Skip It,1.05 (in pounds),Walmart,Twister Rave Skip-It Game,TWISTER RAVE SKIP IT,14.99,194,A2037
,0,907032,http://www.walmart.com/ip/LEGO-Chima-Eris-Eagle-Interceptor-Play-Set/22018318,http://www.walmart.com/ip/LEGO-Chima-Eris-Eagle-Interceptor-Play-Set/22018318,22018318,yes,Walmart.com,"LEGO Chima Eris Eagle Interceptor Play Set:    348-piece Eris Eagle Lego Interceptor set includes 3 minifigures: Eris, Razar and Rizzo  Lego Chima Set Features:  CHI  Flick missiles  Cockpit with eject function  Realistic beak  Poseable wings and legs  Grabbing talons and tail    Also includes raven glider  Weapons include 4 CHI weapons  Pose the wings for different flight modes  Grab with the talons  Fire the flick missiles  Engage the secret eject function  Throw the Raven thieves in the onboard prison  Protect and defend the Eagle tribe's CHI  Measures over 7""L x 6""W x 3""H  Raven glider measures over 4""L x 5""W x 1""H  Lego Play Set Model# 70003",2013-05-23 06:00:11,29.44,39.99,LEGO,,6024412,http://i.walmartimages.com/i/p/00/67/34/19/18/0067341918955_300X300.jpg,8 Years - 14 Years,Toys :    Building Sets,0673419189552,,CONSTRUCTION TOY,LEGO OWN IP SETS,LEARNING,http://www.toysrus.com/product/index.jsp?productId=17599266,97 cent shipping,There are no reviews for this retailer,,LEGO Legends of Chima Eris' Eagle Interceptor (70003),1.15 (in pounds),Walmart,LEGO Chima Eris Eagle Interceptor Play Set,LEGO CHIMA 70003 ERIS EAGLE INTERCEPTOR,39.99,197,70003
,0,588455,http://www.walmart.com/ip/Playtex-Diaper-Genie-Refills-3-Pack/17133567,http://www.walmart.com/ip/Playtex-Diaper-Genie-Refills-3-Pack/17133567,17133567,yes,Walmart.com,"Playtex Diaper Genie Refills, 3-Pack:   Diaper refills contain multi-layered film for ultimate protection against odors Easy way to dispose of diapers and help keep a baby's nursery odor- and germ-free This 3-pack will dispose of up to 720 diapers 240 Diaper Genie refills per pack",2013-05-23 06:00:11,15.06,29.99,Playtex,,40002,http://i.walmartimages.com/i/p/00/07/83/00/80/0007830080066_300X300.jpg,,Baby :    Diapers & Refills,0078300400028,,INFANT CARE & SAFETY,DIAPER PAILS,CONSUMABLES & INFANT CARE,http://www.toysrus.com/product/index.jsp?productId=2437622,ships free with $45 order of Home Free items,There are no reviews for this retailer,,Diaper Genie Essentials Diaper Disposal System,1.0 (in pounds),Walmart,"Playtex Diaper Genie Refills, 3-Pack",DG ESSENTIALS SYSTEM PAIL AND REFILL,21.99,192,80066
,0,108925,http://www.walmart.com/ip/Duracell-4133319435-Duracell-Coppertop-C-Batteries-8-Count/14301881,http://www.walmart.com/ip/Duracell-4133319435-Duracell-Coppertop-C-Batteries-8-Count/14301881,14301881,yes,Walmart.com,"Coppertop batteries have been engineered to deliver just the right level of power for most of your household needs. Plus, guaranteed fresh for 5 years. Many of the devices you use in your home are powered most efficiently by Duracell Coppertop batteries, including: Toys, Clocks and Radios, Remote Controls, Smoke Alarms and Flashlights.",2013-05-23 06:00:09,11.97,12.99,Duracell,,MN14RT8Z,http://i.walmartimages.com/i/p/00/04/13/33/93/0004133393464_300X300.jpg,,Electronics :    Batteries,0041333884011,,BATTERIES,C BATTERIES,ELECTRONICS&ENTERTAINMENT,http://www.toysrus.com/product/index.jsp?productId=2427952,ships free with $45 order of Home Free items,There are no reviews for this retailer,,Duracell Coppertop C Battery - 8 Pack,1.15 (in pounds),Walmart,Duracell Coppertop C Batteries 8 Count,DUR COPPERTOP C8 BATTERY,9.99,193,4133319435
,0,886765,http://www.walmart.com/ip/Graco-Totblock-Pack-N-Play/2037160,http://www.walmart.com/ip/Graco-Totblock-Pack-N-Play/2037160,2037160,yes,Walmart.com,"Graco - TotBlock Pack 'N Play :   Graco TotBlock Pack 'n Play playard is designed for children up to 30 pounds, 34 inches tall and unable to climb out on their own  Mesh on all 4 sides with cheerful, playful prints Sets up in less than 1 minute Weighs less than 25 pounds but is strong and stable Polyester pad is easy to clean Easy to store and transport in handy cover Graco TotBlock model: 9261QB",2013-05-23 06:00:12,99.0,,Graco,109.00,1840680,http://i.walmartimages.com/i/p/00/04/74/06/03/0004740603618_300X300.jpg,0 - 12 Months,Baby :    Playards,0047406119042,,GEAR IN HOME,TRAVEL YARDS,GEAR,http://www.toysrus.com/product/index.jsp?productId=15262786,,There are no reviews for this retailer,Rollback,Graco Pack 'N Play with Newborn Napper LX Travel Play Yard - Caraway,29.0 (in pounds),Walmart,Graco - TotBlock Pack 'N Play,CARAWAY PACK N PLAY WITH NEWBORN NAPPER,149.99,191,9261QB
,0,667357,http://www.walmart.com/ip/Monster-High-Ghouls-Rule-Doll-Frankie-Stein-Doll/20968676,http://www.walmart.com/ip/Monster-High-Ghouls-Rule-Doll-Frankie-Stein-Doll/20968676,20968676,yes,Walmart.com,"Monster High Ghouls Rule Doll, Frankie Stein Doll:   The ghouls of Monster High have always stayed home on Halloween but not this year Each doll is dressed in an over-the-top outfit that commemorates her famous monster heritage Celebrate the monster of Frankenstein with Frankie Stein (and her scary cool stitches) Includes: doll, fashion and themed accessory Doll cannot stand alone Dimensions: 10.5""L x 2.75""W x 12.75""H",2013-05-23 06:00:12,22.47,26.99,Mattel,,X3712,http://i.walmartimages.com/i/p/00/74/67/75/12/0074677512694_300X300.jpg,6 Years and up,Toys :    Fashion Dolls,0746775126940,,FASHION DOLLS,MONSTER HIGH,CORE TOY,http://www.toysrus.com/product/index.jsp?productId=12728974,,There are no reviews for this retailer,,Monster High Ghouls Rule Doll - Frankie Stein,1.0 (in pounds),Walmart,"Monster High Ghouls Rule Doll, Frankie Stein Doll",MH GHOULS RULE AST,24.99,189,X3714
,0,911036,http://www.walmart.com/ip/LEGO-Chima-Ultimate-Speedor-Tournament-Play-Set/22018289,http://www.walmart.com/ip/LEGO-Chima-Ultimate-Speedor-Tournament-Play-Set/22018289,22018289,yes,Walmart.com,"LEGO Chima Ultimate Speedor Tournament Play Set:    246-piece Ultimate Speedor Tournament LEGO Chima Set includes 2 minifigures: Laval and Cragger with 4 weapons  Features lion's mouth with target and CHI launch function, CHI tower, 2 CHI orbs, ramp and 2 fire cones  The Ultimate Speedor Tournament LEGO Chima Set also includes lion and croc Speedorz, 2 rip cords, 2 power-upz, 12 CHI and 10 game cards  Weapons include 2 CHI weapons and 2 secondary weapons  Hit the lion's mouth target and release the CHI orb  Hit the CHI tower and grab the CHI orb  Pull the rip cord and unleash the Speedor  Battle for the powerful CHI  Attach the power-upz for even more battling power  Compete with your friends in an action-packed game of skill using this LEGO Legends of Chima  Collect the entire LEGO Chima Speedorz series to create combo games  LEGO Play Set Model# 70115",2013-05-23 06:00:13,27.97,32.99,LEGO,,6024628,http://i.walmartimages.com/i/p/00/67/34/19/19/0067341919014_300X300.jpg,7 Years - 12 Years,Toys :    Building Sets,0673419190145,,CONSTRUCTION TOY,LEGO OWN IP SETS,LEARNING,http://www.toysrus.com/product/index.jsp?productId=17599276,97 cent shipping,There are no reviews for this retailer,,LEGO Legends of Chima Ultimate Speedor Tournament (70115),2.97 (in pounds),Walmart,LEGO Chima Ultimate Speedor Tournament Play Set,LEGO CHIMA 70115 SPEEDOR TOURNMENT,32.99,183,70115
,0,827313,http://www.walmart.com/ip/Phillips-AVENT-Natural-4-oz-Baby-Bottles-BPA-Free/22223571,http://www.walmart.com/ip/Phillips-AVENT-Natural-4-oz-Baby-Bottles-BPA-Free/22223571,22223571,yes,Walmart.com,"Philips AVENT SCF690/37 4 Ounce BPA Free Natural Polypropylene Bottles, 3-Pack:   BPA-free plastic bottles  Wide, breast-shaped nipple  Comfort petals  Ergonomic shape  Wide neck  Made of polypropylene  Package includes 3 bottles  Easy to grasp  Easy to wash and sterilize using any Philips AVENT steam sterilizer (old separately) or by boiling  Works well with other Natural Philips AVENT components and all Natural Philips AVENT nipples (sold separately)  Simpler to clean than traditional baby bottles    Questions about product recalls?  Items that are a part of a recall are removed from the Walmart.com site, and are no longer available for purchase. These items include Walmart.com items only, not those of Marketplace sellers. Customers who have purchased a recalled item will be notified by email or by letter sent to the address given at the time of purchase. For complete recall information, go to  Walmart Recalls .",2013-05-23 06:00:12,17.96,,Avent,,SCF690-37,http://i.walmartimages.com/i/p/00/07/50/20/02/0007502002341_300X300.jpg,,Baby :    Bottle Feeding,0075020023414,,FEEDING AND MOM ACCESSORI,INFANT FEEDING,CONSUMABLES & INFANT CARE,http://www.toysrus.com/product/index.jsp?productId=12934542,ships free with $45 order of Home Free items,There are no reviews for this retailer,,Philips AVENT Natural Bottle 3PK - 4oz,0.6 (in pounds),Walmart,"Philips AVENT SCF690/37 4 Ounce BPA Free Natural Polypropylene Bottles, 3-Pack",3PK  4OZ NATURAL BOTTLE,22.99,198,SCF690/37
,0,246473,http://www.walmart.com/ip/Summer-Infant-3-Stage-Super-Booster-Seat-Girl/20933996,http://www.walmart.com/ip/Summer-Infant-3-Stage-Super-Booster-Seat-Girl/20933996,20933996,yes,Walmart.com,"Summer Infant 3-Stage Super Booster Seat, Girl:   Maximum Weight Limit: 33 lbs  3 stages: soft foam support seat, activity seat and booster seat  3-point safety harness  Soft foam insert adds comfort and helps baby sit upright  Chair straps provided for booster seat mode  360-degree rotating tray with loads of activities to keep baby engaged  Wide base for stability  4 playful toys and 2 cup holders  Colors: purple, pink and aqua  Age Range: 4 to 48 months    Questions about product recalls?  Items that are a part of a recall are removed from the Walmart.com site, and are no longer available for purchase These items include Walmart.com items only, not those of Marketplace sellers. Customers who have purchased a recalled item will be notified by email or by letter sent to the address given at the time of purchase. For complete recall information, go to  Walmart Recalls .",2013-05-23 06:00:11,35.98,42.99,Summer Infant,,18275,http://i.walmartimages.com/i/p/00/01/29/14/13/0001291413285_300X300.jpg,,Baby :    High Chairs & Boosters,0012914182758,,INFANT CARE & SAFETY,BATHS&BATH ACCESSORIES,CONSUMABLES & INFANT CARE,http://www.toysrus.com/product/index.jsp?productId=12383700,ships free with $45 order of Home Free items,There are no reviews for this retailer,,Summer Infant Soothing Spa & Shower - Girls,7.6 (in pounds),Walmart,"Summer Infant 3-Stage Super Booster Seat, Girl",EX SOOTHING SPA TUB - PINK,34.39,196,13285
,0,541758,http://www.walmart.com/ip/Kurio-7-Touchscreen-WiFi-Tablet-for-Families-and-Kids-featuring-Android-4.0/21707737,http://www.walmart.com/ip/Kurio-7-Touchscreen-WiFi-Tablet-for-Families-and-Kids-featuring-Android-4.0/21707737,21707737,yes,Walmart.com,"Kurio – The Ultimate Android Tablet for Families and Kids! – with WiFi 7.0"" Touchscreen Tablet PC Featuring Android 4.0 (Ice Cream Sandwich) Operating System:          Technical Specifications:       4GB on-board storage memory, extendable up to 36GB  The Kurio 7"" WiFi Tablet features a 7.0"" touchscreen  Built-in 802.11b/g/n WiFi    Additional Features:      This Android 4.0 Tablet for Families and Kids can have up to 8 fully customizable user profiles for every member of your family  Comprehensive powerful parental controls and intelligent web filtering software to block inappropriate content  Mini HDMI port, Micro SD Slot  Back and front webcams with microphone  The Android 4.0 Tablet for Families and Kids includes Drop-Safe Protective Bumper    Software and Applications:       Full Ad-Free Premium Versions of top games like ...Angry Birds, Fruit Ninja, DoodleJump, Cut the Rope, Where's my Water and World of Goo, E-books  Advanced web filtering software covering more than 450 million websites (and counting) with auto-updates and separate settings for each profile  Includes dozens of E-books, educational content from award-winning educator Mr. Nussbaum, coloring apps, and much more!  Easy to use, password-protected Parental Area with full content control, app management, and time controls, offering the most secure solution for your entire family   Adobe Flash 11 support, 8 customizable profiles, web browser, Kurio Android Marketplace  Media Formats: Popular media formats    Specifications:       RAM is 1GB  Hard Drive Size is 4GB, extendable up to 36GB  Screen Size of 7""  Screen Type is Multi-Touch Capacitive Touch Screen  Battery Type is Internal Rechargeable Lithium Battery  Connector Type is Mini HDMI, Micro SD, USB 2.0, Headphone Jack, DC Power Port  Accessories Include: Protective Bumper, USB Adapter, USB Cable, Power Adapter  The dimensions of the tablet are: 7.67"" x 4.85"" x 0.50""  The weight of the tablet is: 0.75lbs (no bumper), 1.25lbs (with bumper)        What's in the Box:        Kurio 7 touchscreen tablet, Protective Bumper, USB Adapter, USB Cable, Power Adapter       What's a Tablet PC?       Tablet PCs are compact, ultra-portable entertainment devices that let you read email, surf the internet, read eBooks, view photos, play games, listen to music and watch video files. Most tablets are based on a smaller operating system, which allows you to purchase and download additional applications from supported stores. Tablet PCs do not have a CD/DVD drive and will not run Microsoft Windows or its applications. Tablet PCs function as a secondary device for casual entertainment purposes, and are not meant to replace a computer. They are ideal for use around the home and on the go with Wi-Fi or 3-4g mobile broadband connections (pay as you go, contract may be required for service).",2013-05-23 06:00:10,149.0,199.99,Techno Source,,96000,http://i.walmartimages.com/i/p/00/80/15/61/96/0080156196000_300X300.jpg,,Electronics :    Tablet PCs,0801561960006,,PORTABLE ELECTRONICS,TABLETS CDC,ELECTRONICS&ENTERTAINMENT,http://www.toysrus.com/product/index.jsp?productId=13044616,,There are no reviews for this retailer,,Kurio Kids Tablet with Android 4.0 - 7 inch 4 GB,2.59 (in pounds),Walmart,"Kurio 7"" Tablet with 4GB Memory for Families and Kids",KURIO 4GB 7INCH TABLET,149.99,199,C1101
